,,,,,,,Flood Characteristics,,,,Impact Category,,,Area,,,,,,,,,,
376,M376,1914,December,0,Thames Valley,Extensive,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
377,M377,1915,January,0,Thames Valley,Floods reached maximum level & were the highest since November 1894,Rainfall,T,1,MET,,1,,1,,,,,,,,1,,
378,M378,1915,February,0,Southern England,Large areas of low lying country flooded,Rainfall,T,1,MET,1,,,1,,,,,,,,1,1,
379,M379,1915,March,0,,,,,,MET,,,,,,,,,,,,,,
380,M380,1915,April,0,,,,,,MET,,,,,,,,,,,,,,
381,M381,1915,May,0,,,,,,MET,,,,,,,,,,,,,,
382,M382,1915,June,0,,,,,,MET,,,,,,,,,,,,,,
383,M383,1915,July,0,,,,,,MET,,,,,,,,,,,,,,
384,M384,1915,August,0,,,,,,MET,,,,,,,,,,,,,,
385,M385,1915,September,0,,,,,,MET,,,,,,,,,,,,,,
386,M386,1915,October,0,Crathes (Scotland),River Dee in high flood,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
387,M387,1915,November,0,,,,,,MET,,,,,,,,,,,,,,
388,M388,1915,December,0,Kew (London),,Exceptionally high Tide,C,1,MET,1,,,1,,,,,,,,1,,
389,M389,1916,January,0,,,,,,MET,,,,,,,,,,,,,,
390,M390,1916,February,0,,,,,,MET,,,,,,,,,,,,,,
391,M391,1916,March,0,Kew (London),,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
392,M392,1916,April,0,,,,,,MET,,,,,,,,,,,,,,
393,M393,1916,May,0,,,,,,MET,,,,,,,,,,,,,,
394,M394,1916,June,0,,,,,,MET,,,,,,,,,,,,,,
395,M395,1916,July,0,,,,,,MET,,,,,,,,,,,,,,
396,M396,1916,August,0,,,,,,MET,,,,,,,,,,,,,,
397,M397,1916,September,0,,,,,,MET,,,,,,,,,,,,,,
398,M398,1916,October,0,Scotland,,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
399,M399,1916,November,0,Thames Valley,Much flooding,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
400,M400,1916,December,0,,,,,,MET,,,,,,,,,,,,,,
401,M401,1917,January,0,,,,,,MET,,,,,,,,,,,,,,
402,M402,1917,February,0,,,,,,MET,,,,,,,,,,,,,,
403,M403,1917,March,0,,,,,,MET,,,,,,,,,,,,,,
404,M404,1917,April,0,,,,,,MET,,,,,,,,,,,,,,
405,M405,1917,May,0,Scaleby (Cumbria),,Thunderstorms,T,1,MET,1,,,1,,,,,1,,,,,
406,M406,1917,May,0,Crieff (Scotland),,Thunderstorms,T,1,MET,1,,,,,,,,,,1,,,
407,M407,1917,June,0,London,Tube/district railways flooded & house-basements under water,Unprecedented Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
408,M408,1917,July,0,,,,,,MET,,,,,,,,,,,,,,
409,M409,1917,August,0,Beddgelert (Wales),Crops severely damaged,Torrential Rainfall,T,1,MET,1,,,,,1,,,,,,,,
410,M410,1917,September,0,,,,,,MET,,,,,,,,,,,,,,
411,M411,1917,October,0,,,,,,MET,,,,,,,,,,,,,,
412,M412,1917,November,0,Beauly (Scotland),Serious degree,Snowfall,T,1,MET,,,1,,,,,,,,1,,,
413,M413,1917,December,0,,,,,,MET,,,,,,,,,,,,,,
414,M414,1918,January,0,Many locations in Wales & England esp. killerton (Devon),Very great floods in Killerton,Heavy precipitation & Snowmelt,T,1,MET,1,,,1,,1,,,,,,,1,
415,M415,1918,February,0,,,,,,MET,,,,,,,,,,,,,,
416,M416,1918,March,0,,,,,,MET,,,,,,,,,,,,,,
417,M417,1918,April,0,Nene Valley (Northamptonshire),High floods,Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
418,M418,1918,April,0,Weston Turville (Buckinghamshire),Severe floods,Rainfall,T,1,MET,,1,,1,,,,,,,,1,,
419,M419,1918,May,0,Great Missenden (Buckinghamshire),Many parts flooded,Thunderstorm,T,1,MET,1,,,1,,,,,,,,1,,
420,M420,1918,May,0,Chesham (Buckinghamshire),Hundreds of cottages inundated,Thunderstorm,T,1,MET,,,1,1,,,,,,,,1,,
421,M421,1918,June,0,,,,,,MET,,,,,,,,,,,,,,
422,M422,1918,July,0,,,,,,MET,,,,,,,,,,,,,,
423,M423,1918,August,0,,,,,,MET,,,,,,,,,,,,,,
424,M424,1918,September,0,,,,,,MET,,,,,,,,,,,,,,
425,M425,1918,October,0,,,,,,MET,,,,,,,,,,,,,,
426,M426,1918,November,0,,,,,,MET,,,,,,,,,,,,,,
427,M427,1918,December,0,Peak District,,Rainfall & Snowstorms,T,1,MET,1,,,1,,,1,,,,,,,
428,M428,1918,December,0,Yorkshire,,Snowmelt,T,1,MET,1,,,1,,,,1,,,,,,
429,M429,1918,December,0,Beddgelert (Wales),,Incessant Rainfall,T,1,MET,1,,,,,1,,,,,,,,
430,M430,1919,January,0,Southport (Merseyside),More extensive than any since 1882,Frequent & Heavy Rainfall,T,1,MET,,1,,1,,,,,1,,,,,
431,M431,1919,January,0,Nene Valley (Northamptonshire),Serious floods,Rainfall,T,1,MET,,,1,1,,,1,,,,,,,
432,M432,1919,January,0,Parts of Wales,,Rainfall,T,1,MET,1,,,,,1,,,,,,,,
433,M433,1919,February,0,Weston Turville (Buckinghamshire),Some floods,Heavy Rainfall & frozen ground,T,1,MET,1,,,1,,,,,,,,1,,
434,M434,1919,March,0,Southport (Merseyside),More Severe than January (i.e. greater than any since 1882),Rainfall,T,1,MET,,1,,1,,,,,1,,,,,
435,M435,1919,March,0,Nene Valley,Exceptional floods,Rainfall,T,1,MET,1,,,1,1,,1,,,,,,,
436,M436,1919,April,0,,,,,,MET,,,,,,,,,,,,,,
437,M437,1919,May,0,,,,,,MET,,,,,,,,,,,,,,
438,M438,1919,June,0,Scotland,,Torrential Rainfall,T,1,MET,1,,,,,,,,,,1,,,
439,M439,1919,July,0,Catterick (Yorkshire),"Flooded ""everything""",Extraordinary Rainfall,T,1,MET,1,,,1,,,,1,,,,,,
440,M440,1919,August,0,,,,,,MET,,,,,,,,,,,,,,
441,M441,1919,September,0,,,,,,MET,,,,,,,,,,,,,,
442,M442,1919,October,0,,,,,,MET,,,,,,,,,,,,,,
443,M443,1919,November,0,,,,,,MET,,,,,,,,,,,,,,
444,M444,1919,December,0,Ross (Herefordshire),,Heavy Rainfall,T,1,MET,1,,,1,,0,1,,,,,,,
445,M445,1920,January,0,,,,,,MET,,,,,,,,,,,,,,
446,M446,1920,February,0,Derbyshire & Wales & Northern England & Scotland esp. Yorkshire & Dee Valley & Wye Valley,Worst for 50 years in Yorkshire & 35 years in Dee valley & many years for Wye,[Unspecified],T,1,MET,,1,,1,,1,1,1,1,,1,,,
447,M447,1920,February,0,North Wales & Cheshire & Northwich (Cheshire),Northwich worst in 35 years,Snowmelt,T,1,MET,,1,,1,,1,,,1,,,,,
448,M448,1920,March,0,Scotland,Considerable,Snowfall,T,1,MET,1,,,,,,,,,,1,,,
449,M449,1920,April,0,Tenbury (Worcestershire),Spring sowing affected,Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
450,M450,1920,April,0,Ross-on-Wye (Herefordshire),,Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
451,M451,1920,May,0,Louth (Lancashire),Many houses swept away,Very Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
452,M452,1920,June,0,,,,,,MET,,,,,,,,,,,,,,
453,M453,1920,July,0,,,,,,MET,,,,,,,,,,,,,,
454,M454,1920,August,0,Birmingham,Loss of life & much damage,Rainfall,T,1,MET,,,1,1,,,1,,,,,,,
455,M455,1920,August,0,Western Linton & Edinburgh (Scotland),Extensive with considerable damage,Exceptionally Heavy Rainfall,T,1,MET,1,,,,1,,,,,,1,,,
456,M456,1920,September,0,Margate (Kent) & Lowesoft (Suffolk),Lower parts of town flooded,Thunderstorm,T,1,MET,1,,,1,,,,,,,,1,,
457,M457,1920,October,0,Aberdeenshire (Scotland),Disastrous floods,Incessant Rainfall,T,1,MET,,,1,,,,,,,,1,,,
458,M458,1920,November,0,Cumberland & Westmorland (now Cumbria),,Torrential Rainfalls,T,1,MET,1,,,1,,,,,1,,,,,
459,M459,1920,December,0,,,,,,MET,,,,,,,,,,,,,,
460,M460,1921,January,0,,,,,,MET,,,,,,,,,,,,,,
461,M461,1921,February,0,,,,,,MET,,,,,,,,,,,,,,
462,M462,1921,March,0,,,,,,MET,,,,,,,,,,,,,,
463,M463,1921,April,0,,,,,,MET,,,,,,,,,,,,,,
464,M464,1921,May,0,,,,,,MET,,,,,,,,,,,,,,
465,M465,1921,June,0,,,,,,MET,,,,,,,,,,,,,,
466,M466,1921,July,0,,,,,,MET,,,,,,,,,,,,,,
467,M467,1921,August,0,,,,,,MET,,,,,,,,,,,,,,
468,M468,1921,September,0,,,,,,MET,,,,,,,,,,,,,,
469,M469,1921,October,0,Isle of Wight,Considerable damage to roads & low lying streets,Storm,T,1,MET,1,,,1,,,,,,,,1,,
470,M470,1921,October,0,Lochabar (Scotland),Serious,Thunderstorm,T,1,MET,,,1,,,,,,,,1,,,
471,M471,1921,November,0,,,,,,MET,,,,,,,,,,,,,,
472,M472,1921,December,0,Hull,Serious with much damage done,Strong gales & unprecedented high Tide,C,1,MET,,,1,1,,,,1,,,,,,
473,M473,1922,January,0,,,,,,MET,,,,,,,,,,,,,,
474,M474,1922,February,0,Eastern Scotland,Considerable damage,Heavy Rainfall & Snowmelt,T,1,MET,1,,,,,,,,,,1,,,
475,M475,1922,March,0,,,,,,MET,,,,,,,,,,,,,,
476,M476,1922,April,0,,,,,,MET,,,,,,,,,,,,,,
477,M477,1922,May,0,,,,,,MET,,,,,,,,,,,,,,
478,M478,1922,June,0,,,,,,MET,,,,,,,,,,,,,,
479,M479,1922,July,0,,,,,,MET,,,,,,,,,,,,,,
480,M480,1922,August,0,Midlands & North England,Extensive & caused much damage,Notably Heavy Rainfall,T,1,MET,1,,,1,,,1,1,1,,,,,
481,M481,1922,September,0,,,,,,MET,,,,,,,,,,,,,,
482,M482,1922,October,0,,,,,,MET,,,,,,,,,,,,,,
483,M483,1922,November,0,,,,,,MET,,,,,,,,,,,,,,
484,M484,1922,December,0,,,,,,MET,,,,,,,,,,,,,,
485,M485,1923,January,0,,,,,,MET,,,,,,,,,,,,,,
486,M486,1923,February,0,,,,,,MET,,,,,,,,,,,,,,
487,M487,1923,March,0,,,,,,MET,,,,,,,,,,,,,,
488,M488,1923,April,0,,,,,,MET,,,,,,,,,,,,,,
489,M489,1923,May,0,North-Eastern Scotland,,Snowfall,T,1,MET,1,,,,,,,,,,1,,,
490,M490,1923,June,0,,,,,,MET,,,,,,,,,,,,,,
491,M491,1923,July,0,Inverness (Scotland),Considerable damage,Severe Thunderstorm,T,1,MET,1,,,,,,,,,,1,,,
492,M492,1923,August,0,,,,,,MET,,,,,,,,,,,,,,
493,M493,1923,September,0,,,,,,MET,,,,,,,,,,,,,,
494,M494,1923,October,0,,,,,,MET,,,,,,,,,,,,,,
495,M495,1923,November,0,Lancashire & Northern Wales & Cheshire,,Heavy Rainfall & gales,T,1,MET,1,,,1,,1,,,,,,,1,
496,M496,1923,December,0,Lincolnshire,Extensive,Precipitation,T,1,MET,1,,,1,,,,,1,,,,,
497,M497,1924,January,0,Upper Thames,Much inconvenience,Heavy Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
498,M498,1924,February,0,,,,,,MET,,,,,,,,,,,,,,
499,M499,1924,March,0,,,,,,MET,,,,,,,,,,,,,,
500,M500,1924,April,0,,,,,,MET,,,,,,,,,,,,,,
501,M501,1924,May,0,Bedfordshire & Hertfordshire & Buckinghamshire & Essex & Suffolk,Considerable flooding & damage to crops,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
502,M502,1924,May,0,Worchestershire & Shropshire & Herefordshire & Sunderland,,Thunderstorms,T,1,MET,1,,,1,,,1,1,,,,,,
503,M503,1924,June,0,Worchestershire & Shropshire & Herefordshire & Sunderland,Continuation of May flooding,Rainfall,T,1,MET,1,,,1,,,1,1,,,,,,
504,M504,1924,June,0,Inveraray (Scotland),Flooded the streets & fields,Exceptionally heavy hail storm,T,1,MET,1,,,,,,,,,,1,,,
505,M505,1924,July,0,,,,,,MET,,,,,,,,,,,,,,
506,M506,1924,August,0,,,,,,MET,,,,,,,,,,,,,,
507,M507,1924,September,0,Northern Scotland,Very Serious,Rainfall,T,1,MET,,,1,,,,,,,,1,,,
508,M508,1924,October,0,Cornwall,Serious,Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,,1,
509,M509,1924,November,0,Near Exeter & Thames Valley,Worst for 20 years (Bude),Heavy Rainfall & gales,T,1,MET,,1,,1,,,,,,,,1,1,
510,M510,1924,December,0,Various parts of the country (Scotland),Extensive,Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
511,M511,1925,January,0,Isle of Wight,Localised floods,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
512,M512,1925,February,0,Thames Valley & Kent,Extensive,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
513,M513,1925,March,0,,,,,,MET,,,,,,,,,,,,,,
514,M514,1925,April,0,Scotland,Destructive,Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
515,M515,1925,May,0,,,,,,MET,,,,,,,,,,,,,,
516,M516,1925,June,0,,,,,,MET,,,,,,,,,,,,,,
517,M517,1925,July,0,,,,,,MET,,,,,,,,,,,,,,
518,M518,1925,August,0,,,,,,MET,,,,,,,,,,,,,,
519,M519,1925,September,0,,,,,,MET,,,,,,,,,,,,,,
520,M520,1925,October,0,,,,,,MET,,,,,,,,,,,,,,
521,M521,1925,November,0,,,,,,MET,,,,,,,,,,,,,,
522,M522,1925,December,0,North-Eastern Yorkshire,Extensive,Snowmelt,T,1,MET,1,,,1,,,,1,,,,,,
523,M523,1926,January,0,[Unspecified],Widespread,Rainfall,T,1,MET,1,,,,,,,,,,,,,1
524,M524,1926,February,0,Midlands & Thames Valley,,Rainfall,T,1,MET,1,,,1,,,1,,,,,1,,
525,M525,1926,March,0,,,,,,MET,,,,,,,,,,,,,,
526,M526,1926,April,0,,,,,,MET,,,,,,,,,,,,,,
527,M527,1926,May,0,,,,,,MET,,,,,,,,,,,,,,
528,M528,1926,June,0,,,,,,MET,,,,,,,,,,,,,,
529,M529,1926,July,0,"""Several places"" including Ross-on-Wye (Herefordshire)",Serious,Heavy Rainfall,T,1,MET,,,1,1,,,1,,,,,,,
530,M530,1926,August,0,Dundee (Scotland),Destructive,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
531,M531,1926,September,0,London,,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
532,M532,1926,October,0,,,,,,MET,,,,,,,,,,,,,,
533,M533,1926,November,0,Scotland & Wales,,Heavy Rainfall,T,1,MET,1,,,,,1,,,,0,1,,,
534,M534,1926,December,0,,,,,,MET,,,,,,,,,,,,,,
535,M535,1927,January,0,,,,,,MET,,,,,,,,,,,,,,
536,M536,1927,February,0,,,,,,MET,,,,,,,,,,,,,,
537,M537,1927,March,0,,,,,,MET,,,,,,,,,,,,,,
538,M538,1927,April,0,,,,,,MET,,,,,,,,,,,,,,
539,M539,1927,May,0,Perthshire (Scotland),,Snowmelt & Rainfall,T,1,MET,1,,,,,,,,,,1,,,
540,M540,1927,June,0,,,,,,MET,,,,,,,,,,,,,,
541,M541,1927,July,0,Northern England,Severe including damage to crops,Thunderstorm,T,1,MET,,1,,1,,,,1,1,,,,,
542,M542,1927,July,0,Staffordshire & Oldham,Considerable damage,[Unspecified],T,1,MET,1,,,1,,,1,,,,,,,
543,M543,1927,July,0,Ashton-under-Lyne & Sunderland & Glasgow (Scotland) & Greenock,Extensive,Heavy Rainfall & Thunderstorm,T,1,MET,1,,,1,,,,1,1,,1,,,
544,M544,1927,August,0,Central Perthshire & Lothian (Scotland),Serious,Storms,T,1,MET,,,1,,,,,,,,1,,,
545,M545,1927,September,0,West Kirby (Merseyside),Much flooded ground,Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
546,M546,1927,September,0,Northern England,Extensive with considerable damage to crops & property,Heavy Rainfall,T,1,MET,1,,,1,,,,1,1,,,,,
547,M547,1927,September,0,Lothian & Borders (Scotland),Extensive,Torrential Rainfall,T,1,MET,1,,,,,,,,,,1,,,
548,M548,1927,October,0,Fleetwood (Lancashire),2 square miles of low lying ground,Coastal flooding,C,1,MET,1,,,1,,,,,1,,,,,
549,M549,1927,October,0,Scotland,,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
550,M550,1927,November,0,,,,,,MET,,,,,,,,,,,,,,
551,M551,1927,December,0,,,,,,MET,,,,,,,,,,,,,,
552,M552,1928,January,0,London,Serious with large material damage & 14 lives lost,High Tide with high winds,C,1,MET,,,1,1,,,,,,,,1,,
553,M553,1928,January,0,Scotland,Serious damage,Snowmelt & frequent rains,T,1,MET,,,1,,,,,,,,1,,,
554,M554,1928,January,0,Thames Valley,Widespread,[Unspecified],T,1,MET,1,,,1,,,,,,,,1,,
555,M555,1928,February,0,Scotland,Extensive,Precipitation,T,1,MET,1,,,,,,,,,1,1,,,
556,M556,1928,February,0,Southport (Merseyside),Worst in 50 years,Precipitation,T,1,MET,,1,,1,,,,,1,,,,,
557,M557,1928,March,0,Perthshire (Scotland),Heavy,Precipitation,T,1,MET,1,,,,,,,,,,1,,,
558,M558,1928,April,0,,,,,,MET,,,,,,,,,,,,,,
559,M559,1928,May,0,,,,,,MET,,,,,,,,,,,,,,
560,M560,1928,June,0,,,,,,MET,,,,,,,,,,,,,,
561,M561,1928,July,0,,,,,,MET,,,,,,,,,,,,,,
562,M562,1928,August,0,Borders (Scotland) & Armagh (NI),Locally destructive,Heavy Rainfall,T,1,MET,1,,,,,,,,,1,1,,,
563,M563,1928,September,0,,,,,,MET,,,,,,,,,,,,,,
564,M564,1928,October,0,,,,,,MET,,,,,,,,,,,,,,
565,M565,1928,November,0,,,,,,MET,,,,,,,,,,,,,,
566,M566,1928,December,0,,,,,,MET,,,,,,,,,,,,,,
567,M567,1929,January,0,Eath Lothian (Scotland) & Southern Scotland,,Snowmelt,T,1,MET,1,,,,,,,,,,1,,,
568,M568,1929,February,0,,,,,,MET,,,,,,,,,,,,,,
569,M569,1929,March,0,,,,,,MET,,,,,,,,,,,,,,
570,M570,1929,April,0,,,,,,MET,,,,,,,,,,,,,,
571,M571,1929,May,0,,,,,,MET,,,,,,,,,,,,,,
572,M572,1929,June,0,,,,,,MET,,,,,,,,,,,,,,
573,M573,1929,July,0,,,,,,MET,,,,,,,,,,,,,,
574,M574,1929,August,0,,,,,,MET,,,,,,,,,,,,,,
575,M575,1929,September,0,,,,,,MET,,,,,,,,,,,,,,
576,M576,1929,October,0,,,,,,MET,,,,,,,,,,,,,,
577,M577,1929,November,0,Southern Wales,Disastrous,Heavy Rainfall,T,1,MET,,,1,,,1,,,,,,,,
578,M578,1929,November,0,Bridport (Dorset),Large areas flooded,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,,1,
579,M579,1929,November,0,South-Western England,Severe,Heavy Rainfall,T,1,MET,,1,,1,,,,,,,,,1,
580,M580,1929,December,0,[Unspecified] Large areas,Extensive flooding,Excessive Rainfall,T,1,MET,1,,,,,,,,,,,,,1
581,M581,1930,January,0,,,,,,MET,,,,,,,,,,,,,,
582,M582,1930,February,0,,,,,,MET,,,,,,,,,,,,,,
583,M583,1930,March,0,,,,,,MET,,,,,,,,,,,,,,
584,M584,1930,April,0,,,,,,MET,,,,,,,,,,,,,,
585,M585,1930,May,0,,,,,,MET,,,,,,,,,,,,,,
586,M586,1930,June,0,Central London,Severe with Serious dislocation of traffic,Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,1,,
587,M587,1930,July,0,Yorkshire,Serious,Persistent Rainfall,T,1,MET,,,1,1,,,,1,,,,,,
588,M588,1930,August,0,,,,,,MET,,,,,,,,,,,,,,
589,M589,1930,September,0,Campsea Ashe (East Suffolk),Extensive with impassable roads,Thunderstorm,T,1,MET,1,,,1,,,,,,,,1,,
590,M590,1930,September,0,Glasgow (Scotland),Serious,Thunderstorm,T,1,MET,,,1,,,,,,,,1,,,
591,M591,1930,October,0,,,,,,MET,,,,,,,,,,,,,,
592,M592,1930,November,0,,,,,,MET,,,,,,,,,,,,,,
593,M593,1930,December,0,,,,,,MET,,,,,,,,,,,,,,
594,M594,1931,January,0,,,,,,MET,,,,,,,,,,,,,,
595,M595,1931,February,0,,,,,,MET,,,,,,,,,,,,,,
596,M596,1931,March,0,,,,,,MET,,,,,,,,,,,,,,
597,M597,1931,April,0,South-Western England,Localised flooding,Heavy Rainfall,T,1,MET,1,,,1,,,,,,,,,1,
598,M598,1931,May,0,Somerset,Hundreds of dwellings flooded,Thunderstorms & Hailstorms,T,1,MET,,,1,1,,,,,,,,,1,
599,M599,1931,May,0,Devon,Severe,Thunderstorms & Hailstorms,T,1,MET,,1,,1,,,,,,,,,1,
600,M600,1931,May,0,Wales & Scotland,Considerable material damage,Thunderstorms & Hailstorms,T,1,MET,1,,,,,1,,,,,1,,,
601,M601,1931,June,0,Midlands & North Devon & Scotland & NI,Much flooding & structural damage & Severe & unprecedented severity (Devon),Thunderstorms,T,1,MET,,1,,1,,,1,,,1,1,,1,
602,M602,1931,June,0,Birmingham,,Tornado,T,1,MET,1,,,1,,,1,,,,,,,
603,M603,1931,June,0,Esk Valley & Ross-on-Wye,1 live lost (Esk Valley) (Loss of life),Torrential Rainfall,T,1,MET,,,1,1,,,1,1,,,,,,
604,M604,1931,July,0,[Unspecified] Many places,Dislocation of traffic & Localised flooding,Heavy Rainfall,T,1,MET,1,,,,,,,,,,,,,1
605,M605,1931,August,0,England & Wales,Widespread localised,Heavy Rainfall & Thunderstorms,T,1,MET,1,,,1,1,1,1,1,1,,,1,1,
606,M606,1931,August,0,Scotland,Some loss of life & structural damage,Heavy Rainfall,T,1,MET,,,1,,,,,,,,1,,,
607,M607,1931,September,0,[Unspecified] Many places,Severe,Abnormally Heavy Rainfall,T,1,MET,,1,,,,,,,,,,,,1
608,M608,1931,October,0,,,,,,MET,,,,,,,,,,,,,,
609,M609,1931,November,0,Southern coast of England,Much damage done,Gales & high Tides,C,1,MET,1,,,1,,,,,,,,1,1,
610,M610,1931,November,0,Scotland & Lake district,Serious,Heavy Rainfall,T,1,MET,,,1,1,,,,,1,1,1,,,
611,M611,1931,December,0,,,,,,MET,,,,,,,,,,,,,,
612,M612,1932,January,0,,,,,,MET,,,,,,,,,,,,,,
613,M613,1932,February,0,,,,,,MET,,,,,,,,,,,,,,
614,M614,1932,March,0,,,,,,MET,,,,,,,,,,,,,,
615,M615,1932,April,0,,,,,,MET,,,,,,,,,,,,,,
616,M616,1932,May,0,Midlands & Yorkshire,Destructive,Excessive Rainfall,T,1,MET,1,,,1,,,1,1,,,,,,
617,M617,1932,June,0,,,,,,MET,,,,,,,,,,,,,,
618,M618,1932,July,0,,,,,,MET,,,,,,,,,,,,,,
619,M619,1932,August,0,London,Serious Localised flooding,Heavy Rainfall,T,1,MET,,,1,1,,,,,,,,1,,
620,M620,1932,September,0,,,,,,MET,,,,,,,,,,,,,,
621,M621,1932,October,0,,,,,,MET,,,,,,,,,,,,,,
622,M622,1932,November,0,,,,,,MET,,,,,,,,,,,,,,
623,M623,1932,December,0,Lake district & Central & Southern Scotland,Severe,Prolonged & Heavy Rainfall,T,1,MET,,1,,1,,,,,1,,1,,,
624,M624,1933,January,0,,,,,,MET,,,,,,,,,,,,,,
625,M625,1933,February,0,Thames & Wey Valleys,Severe,Heavy Rainfall & Snowmelt,T,1,MET,,1,,1,,,1,,,,,1,,
626,M626,1933,March,0,,,,,,MET,,,,,,,,,,,,,,
627,M627,1933,April,0,,,,,,MET,,,,,,,,,,,,,,
628,M628,1933,May,0,,,,,,MET,,,,,,,,,,,,,,
629,M629,1933,June,0,Bootle (Merseyside),One man drowned (Loss of life),Heavy Rainfall,T,1,MET,,,1,1,,,,,1,,,,,
630,M630,1933,July,0,London,Gloucester road tube station flooded,Thunderstorm,T,1,MET,1,,,1,,,,,,,,1,,
631,M631,1933,August,0,Scotland,Severe,Torrential Rainfall,T,1,MET,,1,,,,,,,,,1,,,
632,M632,1933,August,0,Blackpool (Lancashire),Some flooding,Heavy Rainfall,T,1,MET,1,,,1,,,,1,,,,,,
633,M633,1933,September,0,,,,,,MET,,,,,,,,,,,,,,
634,M634,1933,October,0,Wales,Serious Localised flooding,Heavy Rainfall,T,1,MET,,,1,,,1,,,,,,,,
635,M635,1933,November,0,,,,,,MET,,,,,,,,,,,,,,
636,M636,1933,December,0,,,,,,MET,,,,,,,,,,,,,,
637,M637,1934,January,0,,,,,,MET,,,,,,,,,,,,,,
638,M638,1934,February,0,,,,,,MET,,,,,,,,,,,,,,
639,M639,1934,March,0,,,,,,MET,,,,,,,,,,,,,,
640,M640,1934,April,0,,,,,,MET,,,,,,,,,,,,,,
641,M641,1934,May,0,,,,,,MET,,,,,,,,,,,,,,
642,M642,1934,June,0,England,Temporary flooding,Thunderstorms,T,1,MET,1,,,1,1,0,1,1,1,,,1,1,
643,M643,1934,July,0,,,,,,MET,,,,,,,,,,,,,,
644,M644,1934,August,0,,,,,,MET,,,,,,,,,,,,,,
645,M645,1934,September,0,,,,,,MET,,,,,,,,,,,,,,
646,M646,1934,October,0,Scotland,Considerable flooding,Exceptionally Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
647,M647,1934,November,0,,,,,,MET,,,,,,,,,,,,,,
648,M648,1934,December,0,,,,,,MET,,,,,,,,,,,,,,
649,M649,1935,January,0,,,,,,MET,,,,,,,,,,,,,,
650,M650,1935,February,0,[Unspecified],Widespread,Heavy Rainfall,T,1,MET,1,,,,,,,,,,,,,1
651,M651,1935,March,0,,,,,,MET,,,,,,,,,,,,,,
652,M652,1935,April,0,,,,,,MET,,,,,,,,,,,,,,
653,M653,1935,May,0,,,,,,MET,,,,,,,,,,,,,,
654,M654,1935,June,0,Bath,Part of main road destroyed (Bath),Thunderstorm,T,1,MET,1,,,1,,,,,,,,,1,
655,M655,1935,July,0,,,,,,MET,,,,,,,,,,,,,,
656,M656,1935,August,0,,,,,,MET,,,,,,,,,,,,,,
657,M657,1935,September,0,,,,,,MET,,,,,,,,,,,,,,
658,M658,1935,October,0,,,,,,MET,,,,,,,,,,,,,,
659,M659,1935,November,0,England,Serious flooding over wide areas with considerable damage,Prolonged & Heavy Rainfall,T,1,MET,,,1,1,1,,1,1,1,,,1,1,
660,M660,1935,December,0,England,Widespread & destructive flooding,Heavy Rainfall,T,1,MET,1,,,1,1,,1,1,1,,,1,1,
661,M661,1936,January,0,England,Extensive,Rainfall,T,1,MET,1,,,1,1,,1,1,1,,,1,1,
662,M662,1936,February,0,,,,,,MET,,,,,,,,,,,,,,
663,M663,1936,March,0,,,,,,MET,,,,,,,,,,,,,,
664,M664,1936,April,0,,,,,,MET,,,,,,,,,,,,,,
665,M665,1936,May,0,,,,,,MET,,,,,,,,,,,,,,
666,M666,1936,June,0,,,,,,MET,,,,,,,,,,,,,,
667,M667,1936,July,0,,,,,,MET,,,,,,,,,,,,,,
668,M668,1936,August,0,,,,,,MET,,,,,,,,,,,,,,
669,M669,1936,September,0,,,,,,MET,,,,,,,,,,,,,,
670,M670,1936,October,0,,,,,,MET,,,,,,,,,,,,,,
671,M671,1936,November,0,,,,,,MET,,,,,,,,,,,,,,
672,M672,1936,December,0,Scotland,Considerable flooding,Heavy Rainfall,T,1,MET,1,,,,,,,,,,1,,,
673,M673,1937,January,0,Midlands & Southern & Eastern England,Widespread,Rainfall,T,1,MET,1,,,1,1,,1,1,,,,1,1,
674,M674,1937,February,0,,,,,,MET,,,,,,,,,,,,,,
