policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,ncap_rating,is_parking_sensors,target
6,8,32,20,8794,1,1,9,2,1,0
18,8,33,15,4076,1,0,0,0,1,0
7,63,25,18,13051,1,2,7,2,1,0
5,12,30,15,4076,1,0,0,0,1,0
10,42,30,3,34791,1,2,7,2,1,0
99,75,58,20,8794,1,2,7,2,1,0
100,12,59,20,8794,3,4,5,3,1,0
10,12,36,20,8794,1,2,7,2,1,0
24,46,42,11,27003,1,2,7,2,1,0
7,0,48,9,35036,1,0,0,0,1,0
96,8,46,20,8794,3,4,5,3,1,0
95,92,31,5,7788,3,4,5,3,1,0
77,84,40,20,8794,3,4,5,3,1,0
0,4,26,15,4076,1,0,0,0,1,0
53,8,50,17,34738,1,0,0,0,1,0
80,4,34,11,27003,1,0,0,0,1,0
55,50,45,4,5410,3,4,5,3,1,0
22,37,37,20,8794,1,3,3,2,1,0
8,12,23,4,5410,1,1,9,2,1,0
61,4,49,5,7788,3,4,5,3,1,0
48,54,36,0,4990,4,3,2,5,1,0
54,4,30,15,4076,4,2,6,5,1,0
87,54,37,11,27003,3,4,5,3,1,0
7,21,34,11,27003,1,2,7,2,1,0
100,16,26,11,27003,3,4,5,3,1,0
0,16,32,0,4990,1,0,0,0,1,0
28,16,27,11,27003,1,2,7,2,1,0
86,46,42,20,8794,3,4,5,3,1,0
6,37,25,20,8794,1,2,7,2,1,0
97,46,47,1,73430,1,2,7,2,1,1
104,42,48,5,7788,1,2,7,2,1,0
71,8,33,11,27003,1,0,0,0,1,0
39,54,23,17,34738,1,2,7,2,1,0
103,12,53,11,27003,1,2,7,2,1,0
69,8,34,21,17804,1,0,0,0,1,0
102,71,62,20,8794,3,4,5,3,1,0
24,29,53,11,27003,3,4,5,3,1,0
23,8,24,17,34738,1,0,0,0,1,0
45,16,54,0,4990,1,0,0,0,1,0
6,12,40,11,27003,2,0,4,2,0,0
10,8,29,15,4076,5,3,10,4,1,0
68,50,47,3,34791,3,4,5,3,1,0
23,50,36,1,73430,1,2,7,2,1,0
46,8,27,21,17804,1,5,1,0,1,0
59,8,25,15,4076,1,0,0,0,1,0
103,12,58,20,8794,3,4,5,3,1,0
36,4,43,11,27003,1,0,0,0,1,0
42,29,33,17,34738,5,3,10,4,1,0
7,37,31,20,8794,1,1,9,2,1,0
5,63,47,1,73430,1,1,9,2,1,0
2,4,29,11,27003,1,0,0,0,1,0
40,113,53,11,27003,2,0,4,2,0,0
89,21,28,5,7788,1,1,9,2,1,0
49,21,26,15,4076,1,0,0,0,1,0
99,29,42,15,4076,1,1,9,2,1,0
3,0,30,3,34791,3,4,5,3,1,0
6,54,37,17,34738,5,3,10,4,1,0
12,21,24,18,13051,3,4,5,3,1,0
88,4,38,19,6112,4,2,6,5,1,0
94,8,26,20,8794,3,4,5,3,1,0
12,0,77,17,34738,1,0,0,0,1,0
50,12,40,11,27003,1,2,7,2,1,0
38,25,23,10,27742,1,0,0,0,1,0
103,16,35,15,4076,3,4,5,3,1,0
6,33,39,1,73430,1,2,7,2,1,0
84,58,35,20,8794,1,2,7,2,1,0
6,63,49,20,8794,1,2,7,2,1,0
6,29,28,11,27003,3,4,5,3,1,0
7,37,38,17,34738,1,2,7,2,1,0
43,12,27,7,16206,1,0,0,0,1,0
17,8,40,4,5410,1,0,0,0,1,0
89,16,53,20,8794,1,2,7,2,1,0
76,4,27,8,65567,1,0,0,0,1,0
89,37,37,2,6108,1,2,7,2,1,0
44,4,31,17,34738,1,0,0,0,1,0
4,71,28,17,34738,1,2,7,2,1,0
6,0,26,15,4076,1,0,0,0,1,1
46,42,23,17,34738,1,2,8,0,1,0
17,8,30,9,35036,1,0,0,0,1,0
7,16,23,15,4076,3,4,5,3,1,0
5,0,34,4,5410,1,0,0,0,1,0
99,29,41,5,7788,3,4,5,3,1,0
58,4,34,3,34791,1,0,0,0,1,0
43,21,36,15,4076,1,0,0,0,1,0
5,12,43,15,4076,1,0,0,0,1,0
92,71,54,5,7788,1,2,8,0,1,0
55,0,51,11,27003,1,0,0,0,1,0
77,0,25,2,6108,1,0,0,0,1,0
39,50,36,20,8794,1,2,7,2,1,0
90,25,32,20,8794,3,4,5,3,1,0
63,4,39,21,17804,1,0,0,0,1,0
6,4,55,5,7788,1,0,0,0,1,0
69,21,43,4,5410,3,4,5,3,1,0
47,12,34,20,8794,3,4,5,3,1,0
2,29,56,3,34791,1,1,9,2,1,0
84,8,33,8,65567,1,0,0,0,1,0
54,16,26,11,27003,3,4,5,3,1,0
87,4,45,20,8794,1,2,7,2,1,0
48,8,26,4,5410,1,0,0,0,1,0
6,4,29,19,6112,1,3,3,2,1,0
98,50,41,6,290,3,4,5,3,1,0
55,12,27,0,4990,1,0,0,0,1,0
35,42,28,15,4076,3,4,5,3,1,0
32,79,55,20,8794,1,2,7,2,1,0
90,4,32,21,17804,1,2,7,2,1,0
8,50,35,0,4990,1,2,7,2,1,0
51,0,43,17,34738,1,0,0,0,1,0
100,100,24,11,27003,4,2,6,5,1,0
16,4,32,11,27003,1,5,1,0,1,1
18,42,31,15,4076,5,3,10,4,1,0
49,4,46,17,34738,1,5,1,0,1,0
39,29,33,15,4076,1,0,0,0,1,0
7,8,49,19,6112,3,4,5,3,1,0
55,37,55,12,20905,1,2,7,2,1,0
36,37,36,11,27003,2,0,4,2,0,0
51,42,30,15,4076,3,4,5,3,1,0
36,42,33,11,27003,3,4,5,3,1,1
103,50,34,20,8794,3,4,5,3,1,0
41,50,49,3,34791,5,3,10,4,1,0
10,42,46,11,27003,1,2,7,2,1,0
4,0,40,0,4990,1,0,0,0,1,0
87,50,23,20,8794,3,4,5,3,1,1
25,16,32,20,8794,1,2,7,2,1,0
38,42,46,20,8794,3,4,5,3,1,0
85,16,42,20,8794,1,2,7,2,1,0
42,67,35,3,34791,3,4,5,3,1,0
43,21,32,15,4076,1,0,0,0,1,0
90,37,24,20,8794,3,4,5,3,1,0
103,4,40,4,5410,1,0,0,0,1,0
81,29,41,20,8794,1,2,8,0,1,0
103,37,41,17,34738,1,2,7,2,1,0
51,4,27,17,34738,5,3,10,4,1,0
103,12,34,5,7788,1,2,8,0,1,1
29,33,46,17,34738,1,0,0,0,1,0
103,8,61,20,8794,3,4,5,3,1,0
96,50,43,18,13051,1,2,7,2,1,0
0,25,32,14,16733,1,0,0,0,1,0
4,0,39,15,4076,1,0,0,0,1,0
100,50,29,20,8794,3,4,5,3,1,0
102,33,42,20,8794,1,2,7,2,1,0
68,8,27,15,4076,1,0,0,0,1,0
49,8,28,20,8794,1,2,7,2,1,0
18,63,27,20,8794,3,4,5,3,1,0
91,37,46,1,73430,3,4,5,3,1,0
8,50,46,20,8794,2,0,4,2,0,0
17,4,40,21,17804,1,2,8,0,1,0
103,71,53,5,7788,1,2,8,0,1,0
86,42,42,5,7788,1,1,9,2,1,0
104,58,41,20,8794,1,2,7,2,1,0
8,4,30,17,34738,3,4,5,3,1,0
55,50,34,20,8794,1,2,7,2,1,0
84,37,26,5,7788,1,3,3,2,1,0
87,46,66,20,8794,1,2,7,2,1,0
21,71,30,20,8794,2,0,4,2,0,0
77,25,38,11,27003,2,0,4,2,0,1
88,16,24,5,7788,1,2,7,2,1,0
17,29,26,20,8794,1,2,7,2,1,0
32,0,56,17,34738,3,4,5,3,1,0
25,33,26,11,27003,3,4,5,3,1,0
40,21,26,20,8794,1,0,0,0,1,0
16,0,36,15,4076,1,0,0,0,1,0
35,21,49,17,34738,1,0,0,0,1,0
42,46,52,17,34738,1,2,7,2,1,0
47,42,27,8,65567,1,2,7,2,1,0
102,29,33,11,27003,3,4,5,3,1,1
47,33,38,6,290,1,0,0,0,1,0
0,16,26,18,13051,3,4,5,3,1,0
5,12,26,11,27003,3,4,5,3,1,0
98,16,42,20,8794,3,4,5,3,1,1
0,37,28,20,8794,1,2,7,2,1,0
7,0,46,17,34738,1,0,0,0,1,0
54,58,37,1,73430,1,2,7,2,1,0
88,42,44,5,7788,1,2,7,2,1,0
18,8,41,21,17804,3,4,5,3,1,0
82,67,38,20,8794,4,2,6,5,1,0
28,8,33,15,4076,1,0,0,0,1,0
39,25,30,20,8794,1,1,9,2,1,0
87,12,24,1,73430,1,1,9,2,1,0
0,46,42,5,7788,1,2,7,2,1,0
92,33,65,4,5410,2,0,4,2,0,0
103,42,45,3,34791,3,4,5,3,1,0
17,37,40,5,7788,1,2,7,2,1,0
47,0,43,4,5410,1,0,0,0,1,0
17,37,49,21,17804,3,4,5,3,1,0
90,21,45,11,27003,3,4,5,3,1,1
26,29,33,21,17804,1,2,7,2,1,0
89,46,30,16,21622,5,3,10,4,1,0
98,33,30,19,6112,3,4,5,3,1,0
91,42,29,20,8794,1,2,7,2,1,0
101,67,44,20,8794,3,4,5,3,1,0
37,46,26,11,27003,4,2,6,5,1,0
53,25,23,1,73430,1,2,7,2,1,0
1,0,51,15,4076,1,0,0,0,1,0
12,0,27,6,290,1,0,0,0,1,0
86,0,34,20,8794,5,3,10,4,1,0
100,12,37,2,6108,3,4,5,3,1,0
59,63,25,19,6112,3,4,5,3,1,0
46,33,24,1,73430,1,5,1,0,1,1
57,8,29,17,34738,1,0,0,0,1,0
9,0,42,15,4076,1,0,0,0,1,0
85,4,39,20,8794,3,4,5,3,1,0
28,29,26,2,6108,1,0,0,0,1,0
67,0,33,15,4076,1,0,0,0,1,0
85,12,31,20,8794,1,2,7,2,1,1
92,79,43,1,73430,3,4,5,3,1,0
94,8,30,1,73430,1,0,0,0,1,0
41,4,32,11,27003,1,3,3,2,1,0
6,50,34,17,34738,1,2,7,2,1,0
98,71,40,4,5410,5,3,10,4,1,0
17,0,43,2,6108,1,0,0,0,1,0
104,4,24,15,4076,1,2,7,2,1,0
3,54,28,5,7788,1,2,8,0,1,0
10,16,51,15,4076,1,0,0,0,1,0
81,42,37,4,5410,1,3,3,2,1,0
53,0,23,17,34738,1,0,0,0,1,0
104,12,27,21,17804,1,2,8,0,1,0
29,4,36,17,34738,1,0,0,0,1,0
90,12,48,20,8794,1,2,7,2,1,0
50,54,55,21,17804,1,2,7,2,1,0
73,8,31,17,34738,1,0,0,0,1,0
49,8,61,17,34738,1,2,7,2,1,0
72,0,31,8,65567,1,0,0,0,1,0
85,37,46,4,5410,1,2,7,2,1,0
15,8,26,8,65567,1,0,0,0,1,0
56,63,28,20,8794,4,3,2,5,1,0
45,29,41,1,73430,1,2,7,2,1,0
90,16,39,20,8794,1,2,7,2,1,0
40,46,31,5,7788,1,2,7,2,1,0
23,58,46,19,6112,2,0,4,2,0,0
41,4,26,19,6112,1,0,0,0,1,0
65,29,26,20,8794,3,4,5,3,1,0
93,33,42,20,8794,1,2,7,2,1,0
43,21,33,13,3264,1,0,0,0,1,0
89,8,50,17,34738,3,4,5,3,1,0
8,16,30,15,4076,1,0,0,0,1,0
47,8,49,10,27742,1,0,0,0,1,0
79,8,39,15,4076,3,4,5,3,1,0
28,79,35,20,8794,1,2,7,2,1,0
85,12,54,5,7788,1,2,7,2,1,0
28,12,30,19,6112,1,0,0,0,1,0
96,67,40,11,27003,3,4,5,3,1,0
73,75,34,15,4076,4,2,6,5,1,0
10,8,53,17,34738,1,0,0,0,1,0
39,58,29,5,7788,3,4,5,3,1,1
4,0,41,1,73430,1,0,0,0,1,0
94,4,43,20,8794,1,0,0,0,1,0
101,42,35,20,8794,4,3,2,5,1,0
40,4,30,17,34738,1,2,7,2,1,0
45,12,26,4,5410,5,3,10,4,1,0
35,63,39,11,27003,1,2,7,2,1,0
19,37,23,0,4990,3,4,5,3,1,0
91,37,52,11,27003,1,3,3,2,1,0
85,58,33,20,8794,3,4,5,3,1,0
3,4,43,11,27003,1,0,0,0,1,0
95,25,47,5,7788,1,2,7,2,1,1
16,12,23,4,5410,1,0,0,0,1,0
27,21,33,0,4990,1,0,0,0,1,0
44,42,31,20,8794,1,2,7,2,1,0
87,67,30,20,8794,5,3,10,4,1,0
18,0,24,21,17804,1,0,0,0,1,0
18,0,33,15,4076,3,4,5,3,1,0
5,16,26,17,34738,1,0,0,0,1,0
82,33,26,20,8794,3,4,5,3,1,0
96,8,49,17,34738,3,4,5,3,1,0
10,42,24,11,27003,2,0,4,2,0,0
44,21,46,6,290,1,2,7,2,1,0
99,37,46,5,7788,3,4,5,3,1,0
84,16,40,18,13051,1,1,9,2,1,0
103,58,33,3,34791,2,0,4,2,0,0
85,42,36,20,8794,3,4,5,3,1,0
20,37,60,5,7788,1,2,7,2,1,0
2,0,39,15,4076,1,0,0,0,1,0
33,50,23,11,27003,1,1,9,2,1,0
28,50,26,4,5410,1,2,7,2,1,0
93,0,40,4,5410,2,0,4,2,0,0
104,37,36,20,8794,1,2,7,2,1,0
7,134,26,4,5410,1,2,7,2,1,0
74,29,46,19,6112,1,2,7,2,1,0
52,0,37,18,13051,1,2,7,2,1,0
93,75,42,19,6112,3,4,5,3,1,0
5,42,23,11,27003,3,4,5,3,1,0
92,4,53,2,6108,5,3,10,4,1,0
7,33,23,17,34738,1,0,0,0,1,0
29,67,30,1,73430,1,2,7,2,1,0
77,54,56,6,290,1,2,7,2,1,0
35,16,39,20,8794,4,2,6,5,1,0
74,8,40,4,5410,1,0,0,0,1,0
63,29,31,4,5410,1,2,7,2,1,0
7,0,34,18,13051,1,0,0,0,1,0
33,67,42,11,27003,1,1,9,2,1,0
90,63,33,17,34738,2,0,4,2,0,1
8,42,27,19,6112,1,2,7,2,1,0
55,4,30,15,4076,1,0,0,0,1,0
87,84,33,20,8794,1,2,7,2,1,0
24,16,29,15,4076,1,0,0,0,1,0
59,12,60,5,7788,1,2,7,2,1,0
50,0,31,8,65567,1,2,7,2,1,0
14,4,25,5,7788,1,0,0,0,1,0
1,21,36,20,8794,1,2,8,0,1,0
84,29,33,20,8794,1,2,7,2,1,0
45,25,40,21,17804,1,0,0,0,1,0
16,29,33,15,4076,1,0,0,0,1,0
88,37,25,4,5410,1,2,8,0,1,0
87,12,33,20,8794,3,4,5,3,1,0
63,29,43,20,8794,1,2,7,2,1,1
85,8,56,1,73430,3,4,5,3,1,0
96,84,46,17,34738,1,0,0,0,1,0
93,33,38,5,7788,1,2,7,2,1,1
49,8,37,17,34738,1,0,0,0,1,0
81,4,41,11,27003,1,2,7,2,1,0
4,0,30,15,4076,1,0,0,0,1,0
48,25,35,11,27003,5,3,10,4,1,0
86,12,46,20,8794,3,4,5,3,1,1
95,16,40,20,8794,1,2,7,2,1,0
89,4,37,20,8794,1,1,9,2,1,0
23,8,35,11,27003,1,0,0,0,1,0
6,12,26,1,73430,1,2,7,2,1,0
85,8,51,20,8794,3,4,5,3,1,1
84,16,43,15,4076,1,0,0,0,1,0
103,21,55,20,8794,3,4,5,3,1,0
18,25,63,0,4990,1,0,0,0,1,0
36,8,49,17,34738,1,0,0,0,1,0
89,4,45,1,73430,1,2,7,2,1,0
6,0,43,18,13051,1,0,0,0,1,0
100,63,33,11,27003,4,2,6,5,1,0
96,50,43,20,8794,3,4,5,3,1,0
99,12,27,6,290,1,2,7,2,1,0
30,58,30,11,27003,1,2,7,2,1,0
104,37,26,20,8794,2,0,4,2,0,0
64,67,33,18,13051,3,4,5,3,1,1
9,37,31,18,13051,1,0,0,0,1,0
102,84,28,20,8794,4,3,2,5,1,1
26,0,46,21,17804,1,0,0,0,1,0
101,71,35,17,34738,1,2,8,0,1,0
9,12,33,15,4076,1,0,0,0,1,0
54,16,26,17,34738,1,2,7,2,1,0
87,42,51,20,8794,3,4,5,3,1,0
74,0,54,2,6108,1,2,7,2,1,0
7,58,23,1,73430,2,0,4,2,0,0
9,0,42,11,27003,3,4,5,3,1,0
50,8,28,15,4076,1,0,0,0,1,0
92,12,42,4,5410,3,4,5,3,1,0
103,33,44,20,8794,3,4,5,3,1,0
51,4,47,1,73430,1,0,0,0,1,0
88,50,50,4,5410,1,0,0,0,1,0
3,16,55,11,27003,1,0,0,0,1,0
46,29,46,17,34738,3,4,5,3,1,0
85,50,68,15,4076,3,4,5,3,1,0
41,58,26,17,34738,1,5,1,0,1,0
88,46,36,18,13051,1,2,8,0,1,0
76,46,24,20,8794,5,3,10,4,1,0
35,29,48,1,73430,1,2,7,2,1,0
10,71,45,19,6112,3,4,5,3,1,0
34,33,40,4,5410,3,4,5,3,1,0
94,4,41,11,27003,3,4,5,3,1,0
65,12,58,17,34738,1,0,0,0,1,0
9,63,33,11,27003,1,1,9,2,1,0
41,54,30,2,6108,3,4,5,3,1,0
8,50,43,15,4076,1,2,7,2,1,0
92,50,36,11,27003,1,3,3,2,1,0
54,0,47,1,73430,5,3,10,4,1,0
7,4,28,21,17804,3,4,5,3,1,0
54,21,30,1,73430,1,3,3,2,1,0
20,37,39,2,6108,1,2,7,2,1,0
102,8,36,20,8794,1,5,1,0,1,0
39,12,26,15,4076,1,0,0,0,1,0
10,0,32,11,27003,1,0,0,0,1,1
38,42,45,20,8794,1,2,7,2,1,0
104,16,33,17,34738,3,4,5,3,1,0
76,4,46,17,34738,1,0,0,0,1,0
90,37,36,20,8794,1,1,9,2,1,0
77,8,29,17,34738,1,0,0,0,1,0
101,25,29,20,8794,1,1,9,2,1,0
86,54,28,4,5410,3,4,5,3,1,0
24,54,29,20,8794,3,4,5,3,1,0
99,12,29,20,8794,1,1,9,2,1,0
15,50,45,11,27003,3,4,5,3,1,0
6,8,34,18,13051,1,0,0,0,1,0
103,29,55,10,27742,3,4,5,3,1,0
12,29,24,20,8794,3,4,5,3,1,0
95,12,42,4,5410,1,0,0,0,1,0
41,0,45,15,4076,1,0,0,0,1,0
103,71,50,20,8794,3,4,5,3,1,0
1,0,28,15,4076,1,0,0,0,1,0
101,42,26,20,8794,3,4,5,3,1,0
99,33,42,20,8794,3,4,5,3,1,0
27,46,35,20,8794,3,4,5,3,1,0
45,16,41,1,73430,1,0,0,0,1,0
91,33,40,16,21622,1,2,7,2,1,0
24,16,49,15,4076,1,0,0,0,1,0
10,12,34,17,34738,3,4,5,3,1,0
58,29,37,6,290,1,1,9,2,1,0
95,46,30,20,8794,1,2,7,2,1,0
61,8,36,21,17804,1,0,0,0,1,0
15,29,39,17,34738,1,2,7,2,1,0
86,4,38,11,27003,1,0,0,0,1,0
82,8,33,19,6112,1,0,0,0,1,0
95,21,30,20,8794,1,2,7,2,1,0
51,8,30,18,13051,1,0,0,0,1,0
95,37,66,3,34791,1,2,8,0,1,0
5,12,33,17,34738,1,0,0,0,1,0
73,42,27,17,34738,4,3,2,5,1,0
4,4,30,15,4076,1,0,0,0,1,0
43,25,53,17,34738,1,2,7,2,1,0
87,8,43,10,27742,4,2,6,5,1,0
87,8,32,5,7788,1,2,7,2,1,0
6,16,28,20,8794,3,4,5,3,1,0
22,42,32,3,34791,1,1,9,2,1,0
24,25,30,17,34738,4,2,6,5,1,0
84,79,28,20,8794,2,0,4,2,0,0
75,4,43,20,8794,1,0,0,0,1,0
84,16,29,4,5410,1,2,7,2,1,0
3,8,67,18,13051,1,0,0,0,1,0
38,8,30,11,27003,3,4,5,3,1,0
74,71,65,5,7788,2,0,4,2,0,0
25,0,33,0,4990,1,0,0,0,1,0
77,71,35,3,34791,1,3,3,2,1,1
59,0,33,21,17804,1,0,0,0,1,0
100,8,34,16,21622,3,4,5,3,1,0
87,54,43,11,27003,1,0,0,0,1,0
92,29,33,1,73430,3,4,5,3,1,0
84,50,51,17,34738,3,4,5,3,1,0
7,67,33,4,5410,3,4,5,3,1,0
48,8,36,20,8794,1,2,7,2,1,0
100,16,36,11,27003,2,0,4,2,0,0
89,50,38,20,8794,1,2,7,2,1,0
28,0,70,17,34738,1,1,9,2,1,0
91,37,34,20,8794,3,4,5,3,1,0
92,0,29,2,6108,1,1,9,2,1,0
102,4,43,20,8794,1,2,7,2,1,0
95,4,50,17,34738,2,0,4,2,0,0
31,58,27,15,4076,1,2,8,0,1,0
87,8,54,15,4076,2,0,4,2,0,0
85,117,26,4,5410,1,1,9,2,1,0
6,33,24,5,7788,5,3,10,4,1,0
59,16,43,20,8794,1,2,7,2,1,0
97,8,39,17,34738,3,4,5,3,1,0
8,54,47,11,27003,3,4,5,3,1,0
23,16,34,20,8794,2,0,4,2,0,0
33,63,26,2,6108,4,2,6,5,1,0
87,16,50,17,34738,3,4,5,3,1,0
93,46,31,11,27003,1,2,7,2,1,0
70,42,28,15,4076,1,5,1,0,1,0
2,0,26,20,8794,3,4,5,3,1,0
6,12,50,19,6112,4,2,6,5,1,0
28,12,41,15,4076,1,0,0,0,1,0
0,0,42,16,21622,1,0,0,0,1,0
50,37,59,18,13051,3,4,5,3,1,0
92,29,24,15,4076,3,4,5,3,1,0
2,8,31,20,8794,1,2,7,2,1,0
36,46,32,15,4076,2,0,4,2,0,0
96,67,36,17,34738,4,2,6,5,1,0
90,63,50,20,8794,1,5,1,0,1,0
9,8,25,15,4076,3,4,5,3,1,0
91,25,33,13,3264,2,0,4,2,0,0
31,29,33,20,8794,4,2,6,5,1,0
47,0,30,3,34791,1,0,0,0,1,1
9,12,23,15,4076,1,2,7,2,1,0
101,54,27,3,34791,1,2,7,2,1,0
17,63,25,0,4990,1,2,7,2,1,0
55,0,23,11,27003,1,0,0,0,1,0
48,54,23,5,7788,1,2,7,2,1,0
15,42,33,11,27003,1,0,0,0,1,0
36,0,36,15,4076,1,0,0,0,1,0
2,4,35,0,4990,1,0,0,0,1,0
7,42,46,1,73430,3,4,5,3,1,0
28,8,26,15,4076,1,0,0,0,1,0
70,29,57,18,13051,2,0,4,2,0,0
36,12,39,15,4076,1,0,0,0,1,0
88,16,48,5,7788,1,2,7,2,1,0
98,21,26,10,27742,3,4,5,3,1,0
40,25,41,5,7788,3,4,5,3,1,0
73,25,55,4,5410,1,2,7,2,1,0
30,67,33,21,17804,1,2,7,2,1,0
7,42,32,20,8794,1,1,9,2,1,0
89,12,60,5,7788,1,0,0,0,1,0
98,37,37,20,8794,3,4,5,3,1,1
3,0,36,17,34738,1,0,0,0,1,0
74,0,52,15,4076,1,0,0,0,1,0
39,42,36,5,7788,4,2,6,5,1,0
40,8,28,20,8794,1,1,9,2,1,0
51,21,32,20,8794,1,0,0,0,1,0
48,50,39,20,8794,3,4,5,3,1,0
70,37,45,20,8794,4,2,6,5,1,0
7,33,33,11,27003,3,4,5,3,1,0
59,42,27,11,27003,1,1,9,2,1,0
98,29,30,20,8794,3,4,5,3,1,0
18,16,31,17,34738,1,0,0,0,1,0
16,12,41,11,27003,1,2,7,2,1,0
86,12,38,21,17804,2,0,4,2,0,0
44,29,25,5,7788,1,1,9,2,1,0
32,25,36,1,73430,5,3,10,4,1,0
6,29,29,21,17804,1,0,0,0,1,0
8,12,31,18,13051,1,0,0,0,1,0
34,42,48,11,27003,3,4,5,3,1,0
100,25,30,20,8794,1,2,7,2,1,1
23,12,33,1,73430,1,0,0,0,1,0
1,37,36,20,8794,3,4,5,3,1,0
40,42,23,15,4076,1,3,3,2,1,0
103,50,33,10,27742,3,4,5,3,1,0
46,16,40,5,7788,1,2,7,2,1,0
82,50,26,20,8794,1,0,0,0,1,0
93,46,46,11,27003,3,4,5,3,1,0
101,25,56,20,8794,1,2,8,0,1,0
1,8,25,19,6112,5,3,10,4,1,0
58,16,26,4,5410,1,2,7,2,1,0
79,4,25,0,4990,1,0,0,0,1,0
41,8,36,1,73430,1,0,0,0,1,0
74,4,32,15,4076,1,0,0,0,1,0
45,151,27,17,34738,3,4,5,3,1,0
95,58,41,20,8794,1,2,7,2,1,0
59,8,31,18,13051,1,0,0,0,1,0
7,50,35,11,27003,1,2,7,2,1,0
91,71,57,20,8794,3,4,5,3,1,0
39,21,50,17,34738,1,0,0,0,1,1
2,0,31,1,73430,1,0,0,0,1,0
97,8,60,10,27742,1,2,7,2,1,0
88,50,45,20,8794,1,2,7,2,1,0
17,8,29,6,290,1,1,9,2,1,0
87,37,40,11,27003,1,2,7,2,1,0
57,4,30,16,21622,1,0,0,0,1,0
8,21,38,15,4076,1,2,8,0,1,0
54,4,42,4,5410,1,0,0,0,1,0
43,37,40,20,8794,1,2,7,2,1,0
70,16,47,21,17804,1,0,0,0,1,0
79,71,28,3,34791,1,2,7,2,1,0
76,42,24,19,6112,1,2,8,0,1,0
26,4,30,15,4076,1,0,0,0,1,0
7,33,31,19,6112,1,0,0,0,1,0
94,33,53,11,27003,3,4,5,3,1,0
95,50,36,17,34738,1,1,9,2,1,0
42,21,40,1,73430,1,2,8,0,1,0
16,21,32,4,5410,1,3,3,2,1,0
4,0,48,17,34738,1,0,0,0,1,0
45,4,31,6,290,1,2,8,0,1,0
28,71,27,11,27003,3,4,5,3,1,0
23,63,31,20,8794,3,4,5,3,1,0
26,29,40,4,5410,1,2,7,2,1,0
8,42,36,6,290,3,4,5,3,1,0
46,42,29,21,17804,3,4,5,3,1,0
15,8,30,17,34738,1,2,7,2,1,0
100,29,36,16,21622,1,2,7,2,1,1
89,8,28,15,4076,1,1,9,2,1,0
2,8,30,15,4076,1,0,0,0,1,0
89,29,26,11,27003,5,3,10,4,1,0
99,29,36,20,8794,1,2,8,0,1,0
90,29,40,15,4076,1,3,3,2,1,0
47,4,25,15,4076,1,0,0,0,1,0
14,16,30,1,73430,5,3,10,4,1,0
85,4,36,20,8794,5,3,10,4,1,0
55,0,43,21,17804,1,5,1,0,1,0
58,4,29,18,13051,1,0,0,0,1,0
90,54,48,11,27003,1,2,7,2,1,0
23,8,25,20,8794,5,3,10,4,1,0
85,4,26,17,34738,1,1,9,2,1,0
6,16,50,17,34738,1,0,0,0,1,0
6,4,41,19,6112,3,4,5,3,1,0
26,58,28,17,34738,4,2,6,5,1,0
82,0,46,3,34791,1,0,0,0,1,0
7,37,26,11,27003,1,2,8,0,1,1
30,25,38,4,5410,3,4,5,3,1,0
99,50,39,11,27003,1,2,7,2,1,1
90,16,35,2,6108,1,2,7,2,1,1
104,21,51,20,8794,1,2,7,2,1,0
96,21,53,11,27003,1,2,7,2,1,0
17,67,23,19,6112,1,1,9,2,1,0
11,33,29,19,6112,3,4,5,3,1,0
51,0,25,20,8794,1,3,3,2,1,0
88,16,43,11,27003,1,1,9,2,1,0
18,29,34,20,8794,5,3,10,4,1,0
1,4,46,4,5410,1,0,0,0,1,0
36,0,24,19,6112,1,0,0,0,1,0
91,25,30,11,27003,1,2,7,2,1,0
86,58,40,21,17804,1,2,8,0,1,0
8,0,30,20,8794,1,2,7,2,1,0
14,4,23,15,4076,1,2,8,0,1,0
96,46,40,2,6108,3,4,5,3,1,0
22,29,33,11,27003,1,0,0,0,1,0
63,33,42,20,8794,3,4,5,3,1,0
8,8,36,21,17804,3,4,5,3,1,0
17,8,44,21,17804,1,0,0,0,1,0
21,50,28,4,5410,1,1,9,2,1,0
55,16,26,19,6112,1,2,8,0,1,0
2,8,30,18,13051,1,0,0,0,1,0
63,4,50,17,34738,1,0,0,0,1,0
7,25,29,20,8794,1,5,1,0,1,0
14,0,29,15,4076,1,0,0,0,1,0
42,71,46,20,8794,1,2,7,2,1,0
99,21,33,10,27742,1,0,0,0,1,0
101,29,32,15,4076,4,3,2,5,1,0
7,8,28,15,4076,1,1,9,2,1,0
94,8,64,20,8794,1,2,7,2,1,0
31,21,23,4,5410,1,2,7,2,1,0
37,42,23,17,34738,1,5,1,0,1,0
7,8,40,4,5410,3,4,5,3,1,0
16,63,44,18,13051,3,4,5,3,1,0
101,16,37,11,27003,1,2,7,2,1,0
94,25,28,20,8794,1,1,9,2,1,1
60,21,26,20,8794,1,0,0,0,1,0
6,12,38,20,8794,1,2,7,2,1,0
43,29,65,5,7788,1,2,7,2,1,0
26,21,26,15,4076,3,4,5,3,1,0
27,8,24,11,27003,1,1,9,2,1,0
96,58,38,20,8794,1,5,1,0,1,0
62,54,31,20,8794,3,4,5,3,1,0
8,0,39,16,21622,1,0,0,0,1,0
